날짜,역명,Passengers,Weekend,Post,Year,Date
2022-04-25,녹사평(용산구청),1313,0,0,2022,1990-04-25
2022-04-25,삼각지,3217,0,0,2022,1990-04-25
2022-04-25,신용산,7758,0,0,2022,1990-04-25
2022-04-26,녹사평(용산구청),1277,0,0,2022,1990-04-26
2022-04-26,삼각지,3195,0,0,2022,1990-04-26
2022-04-26,신용산,7664,0,0,2022,1990-04-26
2022-04-27,녹사평(용산구청),1368,0,0,2022,1990-04-27
2022-04-27,삼각지,3160,0,0,2022,1990-04-27
2022-04-27,신용산,7726,0,0,2022,1990-04-27
2022-04-28,녹사평(용산구청),1333,0,0,2022,1990-04-28
2022-04-28,삼각지,3310,0,0,2022,1990-04-28
2022-04-28,신용산,7801,0,0,2022,1990-04-28
2022-04-29,녹사평(용산구청),1333,0,0,2022,1990-04-29
2022-04-29,삼각지,3136,0,0,2022,1990-04-29
2022-04-29,신용산,7266,0,0,2022,1990-04-29
2022-05-02,녹사평(용산구청),1328,0,0,2022,1990-05-02
2022-05-02,삼각지,3233,0,0,2022,1990-05-02
2022-05-02,신용산,8130,0,0,2022,1990-05-02
2022-05-03,녹사평(용산구청),1391,0,0,2022,1990-05-03
2022-05-03,삼각지,3692,0,0,2022,1990-05-03
2022-05-03,신용산,8259,0,0,2022,1990-05-03
2022-05-04,녹사평(용산구청),1423,0,0,2022,1990-05-04
2022-05-04,삼각지,3365,0,0,2022,1990-05-04
2022-05-04,신용산,8335,0,0,2022,1990-05-04
2022-05-05,녹사평(용산구청),543,0,0,2022,1990-05-05
2022-05-05,삼각지,1368,0,0,2022,1990-05-05
2022-05-05,신용산,2138,0,0,2022,1990-05-05
2022-05-06,녹사평(용산구청),1206,0,0,2022,1990-05-06
2022-05-06,삼각지,2857,0,0,2022,1990-05-06
2022-05-06,신용산,5486,0,0,2022,1990-05-06
2022-05-09,녹사평(용산구청),1332,0,0,2022,1990-05-09
2022-05-09,삼각지,3314,0,0,2022,1990-05-09
2022-05-09,신용산,8456,0,0,2022,1990-05-09
2022-05-10,녹사평(용산구청),1359,0,0,2022,1990-05-10
2022-05-10,삼각지,3733,0,0,2022,1990-05-10
2022-05-10,신용산,8622,0,0,2022,1990-05-10
2022-05-11,녹사평(용산구청),1465,0,1,2022,1990-05-11
2022-05-11,삼각지,3583,0,1,2022,1990-05-11
2022-05-11,신용산,8271,0,1,2022,1990-05-11
2022-05-12,녹사평(용산구청),1429,0,1,2022,1990-05-12
2022-05-12,삼각지,3424,0,1,2022,1990-05-12
2022-05-12,신용산,8337,0,1,2022,1990-05-12
2022-05-13,녹사평(용산구청),1370,0,1,2022,1990-05-13
2022-05-13,삼각지,3484,0,1,2022,1990-05-13
2022-05-13,신용산,7477,0,1,2022,1990-05-13
2022-05-16,녹사평(용산구청),1348,0,1,2022,1990-05-16
2022-05-16,삼각지,3612,0,1,2022,1990-05-16
2022-05-16,신용산,8404,0,1,2022,1990-05-16
2022-05-17,녹사평(용산구청),1409,0,1,2022,1990-05-17
2022-05-17,삼각지,3959,0,1,2022,1990-05-17
2022-05-17,신용산,8543,0,1,2022,1990-05-17
2022-05-18,녹사평(용산구청),1360,0,1,2022,1990-05-18
2022-05-18,삼각지,3626,0,1,2022,1990-05-18
2022-05-18,신용산,8295,0,1,2022,1990-05-18
2022-05-19,녹사평(용산구청),1476,0,1,2022,1990-05-19
2022-05-19,삼각지,3672,0,1,2022,1990-05-19
2022-05-19,신용산,8319,0,1,2022,1990-05-19
2022-05-20,녹사평(용산구청),1387,0,1,2022,1990-05-20
2022-05-20,삼각지,3520,0,1,2022,1990-05-20
